sentiment,content
neutral,"@algarcia3505 I want to get all dressed up and go out to, but I to have no one to go with, I'm with you mentor"
anger,only gets spam in her college email account now. What a way to rub in graduation.
anger,@avrilchan never invite
sadness,off to bed was gonna read some new moon but its a little late now  night night all xxx
anger,People are people...nooooo? Id never have guessed tht...idiot..im grouchy now
anger,ughh on the phone with HP!
neutral,@whatswhat_sian lol. I don't have the benefit of Sky+ and hubbie was watching them so had to sit thru it.
sadness,God! They look stumpy... I'm not sharing my toes tonight
anger,@Tigerfluff who cares its hockey
anger,@ZomberellaMcFox not a fan
sadness,@JaneHungOz hope the presentation went well today?! tweet me if yr on campus tomorrow - I'll be around from lunch time onwards
sadness,At the orthodontisssttt
happiness,Good morming my sunshines! Have a beautiful day! Last day of classes for me!
neutral,I'm not a fan of all day trainings I Novi. I'm one sleepy girl.
anger,Jealousy makes u into a different person ... I freakin hate being this way  gotta suck it up I guess
neutral,@abcddesigns Do you ever sleep?
neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
sadness,"@Tayluvsbroadway yeah  fail times. she was in an accident like a month ago, too, almost same thing. was on the bus on her motorscooter"
neutral,"Nightlife Commando is like, chanting. The music is cool.  &amp; Now I'm listening to INXS. The music in this song is amazing. The bass is win"
neutral,#vwll2009 Would one of the VWLLers want to add this event to our Ning?   http://bit.ly/BF5sh  Would much appreciate that
happiness,family bbq today &amp; my fave cousin comes too
neutral,"@PejuA LOL NOPE, saw a show on TV that claimed so, figured i'd try and get my own non-media stats"
happiness,@jaded0ll HAPPY MOTHER'S DAY TO UR MOM JAH. TC.
anger,swoobs and swass.... why the hell is air not on TODAY when I am packing  blech
anger,Note 2 all twoloers: neva stay @ a candlelight suites shower is slow and the toilet sux and the bed is tiny!
anger,@nelsoncrew  Don't hate me  I seek approval from anyone and everyone..
sadness,Omg... Prison break... The final break. The two episodes that only aired in the uk. Wow. Watch them if you haven't. Soo sad. Tear
neutral,Listening to Lady Gaga... Relatives just left after our Mother's Day celebration
sadness,@SheGotItSheBadd i've been up most of what normal ppl consider the night.  no problem going to sleep but nightmares been waking me up.
happiness,definitely ready for a plate of pancakes.
anger,"Big Laptop is too big, so it's time to switch to the Eee.  Bye big guy"
anger,Fkkk at the nurses coughing up my lungs
happiness,ish okay my loveee
sadness,&quot;My problem isn't that I miss you... 'cause I don't&quot;
neutral,@GreeGreece it's the little thing that links us to England
anger,Got tired of the kitchen being uninhabital so swept and mopped the floor when its dry I'll do the work tops
happiness,http://twitpic.com/4wf3a - the definition of true beauty
neutral,The muse has me gripped firmly by the throat. Really enjoying my writing
happiness,wants @jubliantJO to come back online so that he can talk about all the gossip and horrible things which transpired today.
sadness,at home sick
neutral,sassy grandma's make for a pretty awesome mother's day dinner!
happiness,http://twitpic.com/6814w - So glad Sam is in a good mood
sadness,back at work  its too warm to be in here today!!!
anger,@zanylikethat Awwwww.
anger,"@sexidance I saw slater on some MTV show, So you think you wanna dance with slater or some crap like that. Where's Kelly Kapowski"
sadness,@eeks_ I wish you were here NOWWW!!! grrrrrrr
sadness,We're practicing our blackjack skills. It doesn't look hopeful.  http://yfrog.com/0l2tsj
happiness,working again today  but off tomorrow for dan's party! yay!
anger,@notbeaverhausen I want to hit that
anger,@brentonscowie  dude i will check again but i couldnt find anything  haha i am capital F-U-C-K-E-D
sadness,@ebassman Right here! Army Wife in Germany! I can't STAND that I cannot be there this summer!
happiness,"Listening to comedians like Felicia Michaels, Margaret Cho and Jeff Dunham today"
happiness,"@areyoumee yeaaaah lol, i'm just insane"
anger,@msaysrawr *points at the gear question I just posted* I cant get the rest of my Dreadweave set
anger,too sick for rigging tomorrow.
sadness,"I got the dispatch e-mail about my books an hour ago, and UPS' status is already 'Exception'."
happiness,@CMiget That's always fun to clean up
sadness,"Too much food at today's company gill out, want to go home and lay in the sun. Instead here until dark, probably"
neutral,@16_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.
neutral,"@brutalhoney I think #FF should be Feline Friday anyways, I want cat pictures. Maybe those are only for Caturday though"
neutral,@denharsh i'm afraid im def. a product of the NRI Karan Johar generation- I've been watching a lot of classics this semester
sadness,@PrettyGrl_Annie I can't  I'm goin outta twn 2night. Sorrrryyy
happiness,10 Cutest Cat moments video - http://shrt.st/4ce - enjoy
sadness,"Worried about Bry, he has bronchitis and a sinus infection   Poor baby."
anger,Dont you hate when u take a bite of an apple and its nasty?im a very sad panda now
happiness,"@MissxMarisa we had scones this afternoon!! they were great  we're gonna make cupcakes this week, on Wednesday!"
anger,I hate it when Trevor drives
neutral,@evernote @eyeficard I need one of these! Was just thinking about it earlier today as I downloaded pictures via USB.  #evernote_eyefi
neutral,some pics up from groundup event  check myspace!
happiness,@demiswissfan awesome  thats what im likewith the song paranoid. its stuck in my head! and i love it  lol xxxx
neutral,@FASHIONISMYLIFE just giving shouts to all my peoples in Twitterville
happiness,@c4ss4ndr4 do I discern a request for Hulu support? excellent idea!
anger,Almost got sharpied in the face while falling asleep  being sick sucks!!!
sadness,@beherenw lol must contribute to the destruction of language...awww
happiness,@allicandy95 testing.... Hey! I gotta add you as someone to follow
anger,"my zoids torrent crashed after 8 hours of downloading.  it was only 6% done at that time, because apparently i'm the only zoids fan ever."
sadness,"@KatiaDominos loll , of course me tooo  &amp; i love their new song toooo ?"
anger,"just camee back from bowling, which i offiacial suck at"
happiness,Had a nice dinner with mom! I've started the chicken rolls. They are going to cook overnight. The rest I'll do tomorrow.
sadness,@craigeryowens I work at a movie theatre in Toledo and I'd let you come see it for free. But it's not in 3D
happiness,@sooj899 LOL  I know what ya mean. Watching everyone else act a fool is much better the  not remembering acting a fool yourself
anger,Stupid kubuntu keeps on freezing on me. I thought linux never freezes
sadness,is not feelin well... i feel sooooo weak....i hate bein sick in the summer
neutral,mozert requiem tonight
anger,FML not having a car is prohibiting finding a job
anger,@dnbchik ahhh...Lily's new kitten just took a giant wet stinky shit on me
happiness,@c0v89 i know!  This season has just zoomed by!
neutral,I'm medal drivin'  home in 3 hours!
sadness,@orbitaldiamonds I want all the soldiers to come home so we don't have to hear about anymore being killed.
anger,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?
neutral,Huge headache...goodnight!!
happiness,@eckastatic sure I would like some cream right now
neutral,"Hello dark hair! Well, my plans for today just got cancelled  make some better ones?!"
neutral,"Crazy Legs is peepin @nina_parks at the pool hahaha She likes graf writers, not b-boys, sorry"
neutral,i just need to sleep
happiness,"@ddlovato july 21st!?? that means at your concert I won't know all the songs.  oh well, yay demi!! &lt;3"
sadness,helllooooo boston legal
sadness,"@Nanava_3 U know - kids do what we DO - not what we SAY ... well, don't we all, really  ...."
sadness,happy mothers day  going to the zoo... i have to wake up at 9:30 oh god noo!!!
neutral,People eight years my junior can't understand most of my references
sadness,"@aianna21 @nandiaramos Sadly not, no. They're his colleagues and it's a work party"
anger,cry baby. janes joplin what is this? munsay music. but i dont know wich shit day i  am today
neutral,@avweije76 yep  but I'm going better now
neutral,the apartment is starting to feel like mine.
neutral,is trying to find a profile picture that isn't too big!!! and loving the Hills marathon on MTV
anger,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!"
happiness,"@sweetemmaxxx i love the cheesey ones, and the cool orignal ones  , , , skips i have when my brother has them got to try them u c haha"
anger,@happyseaurchin It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people
happiness,is playing MYBRUTE!  follow me at: http://yhana09.mybrute.com
sadness,@InEveryWordISay no cuz i feel the same way....
anger,@tayl0rmichael i know. But you messed up silly
anger,I have to reupload the damn thing again
anger,Taking the caltrain to go see the giants. It's Cold and someone smells like pee
anger,@velvetella Hey! Polka dots or black dress. Both very glam. Mobile twitter's a bit crap at the mo.
sadness,Families  I really feel for some people and wish I could help but I can't
sadness,"is nervous and wants things to be dealt with already, it sucks having important life stuff up in the air..."
sadness,I did.'t Get tht.
happiness,I love Google's Mothers day theme  http://tr.im/jtl8
happiness,@IamFakeBlood see u Next Saturday With Mr @atrak
happiness,"@reemerband wooooo the tour has started yay, 13 days  have an awesome time! loved the video xD"
neutral,@nakedxa ok.. take care
neutral,"Signing off folk, might be back on later!"
sadness,I just received a mothers day card from my lovely daughter wishing my a happy mothers day  http://tr.im/kWK9
happiness,"can't wait to be at home again.. let the sun shine and warm my frozen bones, please!"
happiness,@JennNinja Thanks too
anger,Bit disappointed with The Killers On Jonathan Ross  He's sexy as hell though
happiness,@nathanschultze haha. that's awesome. good job
neutral,"@TheComputerNerd weird as usual, but ok... that's why we like it"
